ID,Notaatio,Luokan nimi suomeksi,Luokan nimi ruotsiksi,Luokan nimi englanniksi,Kuvaus suomeksi,Kuvaus ruotsiksi,Kuvaus englanniksi
v1001,P1,Asuminen,Boende,Housing,"Tähän palveluluokkaan kuuluvat asunnon etsiminen, löytäminen ja hankkiminen, erilaiset asumismuodot, asumisen taloudelliset tuet, Suomen sisällä tapahtuvaan muuttoon liittyvät prosessit ja palvelut sekä väestötietojärjestelmään liittyvät palvelut.","Denna servicegrupp omfattar hur man söker, hittar och skaffar en bostad, olika boendeformer, ekonomiskt stöd för boende, processer och tjänster i anslutning till flyttning inom Finland samt tjänster som berör befolkningsdatasystemet.","This service class includes seeking, finding and purchasing a residence, different housing forms, housing benefits, processes and services related to migration within Finland, as well as services associated with the Population Information System."
v1002,P1.1,Vuokra-asuminen,Hyresboende,Rental housing,"Tässä palvelualaluokassa käsitellään vuokra-asuntojen saatavuuden ja hintatietojen palvelut, vuokrasopimusasiat, vuokralaisen oikeudet ja velvollisuudet sekä asunnon vuokralle antaminen ja jälleenvuokraaminen. Luokkaan kuuluvat myös vuokra-asunnon etsimiseen ja hankkimiseen liittyvät palvelut.","I denna serviceundergrupp behandlas tjänster för hyresbostäders tillgänglighet och prisuppgifter, hyresavtalsärenden, hyrestagarens rättigheter och skyldigheter samt uthyrning och återuthyrning av bostad. Till gruppen hör också tjänster i anslutning till sökande och anskaffande av hyresbostad.","This service subclass contains services related to the availability and price information of rental residences, lease agreement issues, a lodger’s rights and duties, as well as letting and subletting. It also includes services related to seeking and obtaining a rented residence."
v1003,P1.2,Omistusasuminen,Ägarboende,Owner-occupied housing,"Tähän palvelualaluokkaan kuuluvat kuuluvat asunnon rahoitukseen ja verotukseen liittyvät asiat, asuntojen myyntihintatietoihin liittyvät palvelut sekä kaupan ehtoihin ja mahdollisiin riitatilanteisiin liittyvät asiat. Luokkaan kuuluvat myös omistusasunnon etsimiseen ja hankkimiseen liittyvät palvelut.","Till denna serviceundergrupp hör ärenden i anslutning till finansiering och beskattning, tjänster som gäller uppgifter om försäljningspriser samt affärens villkor och eventuella tvistemål. Till gruppen hör också tjänster i anslutning till sökande och anskaffande av ägarbostad.","This service subclass contains all funding and tax issues related to a residence, services associated with the sales price information of residences, terms and conditions of a deal and possible disputes. It also includes services related to seeking and purchasing an owner-occupied residence."
v1004,P1.3,Osaomistus- ja asumisoikeusasuminen,Delägar- och bostadsrättsboende,Partial ownership and right-of-occupancy housing,Tähän palvelualaluokkaan kuuluvat kuuluvat näihin asumismuotoihin liittyvät haku- ja rahoitusmenettelyt sekä hakemisen edellytykset. Luokkaan kuuluvat myös osaomistus- tai asumisoikeusasunnon etsimiseen ja hankkimiseen liittyvät palvelut.,Till denna serviceundergrupp hör ansöknings- och finansieringsförfaranden i anslutning till dessa boendeformer samt förutsättningar för sökandet. Till gruppen hör också tjänster i anslutning till sökande och anskaffande av delägar- eller bostadsrättsbostad.,This service subclass contains the application and funding procedures as well as application criteria related to these housing forms. It also includes services related to seeking and purchasing a partial ownership or right-of-occupancy residence.
v1005,P1.4,Asumisen tuet,Stöd för boende,Housing benefits,"Tähän palvelualaluokkaan kuuluvat kuuluvat eri tukityypit, tuen saamisen edellytykset eri väestöryhmissä ja tilanteissa sekä tuen suuruuden perusteet ja tukilaskurit.","Till denna serviceundergrupp hör olika typer av stöd, forutsättningar för beviljande av stöd inom olika befolkningsgrupper och situationer samt grunder för storleken på stödet och räknare för beräkning av stöd.","This service subclass includes different benefit types, eligibility criteria in different population groups and situations, the grounds for the benefit amounts and benefit calculators."
v1006,P1.5,Muuttaminen Suomen sisällä ja väestötiedot,Flyttning inom Finland och befolkningsuppgifter,Migration within Finland and population information,"Tässä palvelualaluokassa käsitellään muuttamiseen liittyvät velvoitteet ja ilmoitus- ja asiointipalvelut sekä väestötietojärjestelmään liittyvät asiat kuten nimet ja nimenmuutokset, rakennustiedot ja turvakiellot.","I denna serviceundergrupp behandlas skyldigheter i anslutning till flyttning och anmälnings- och ärendehanteringstjänster samt ärenden i samband med befolkningsdatasystemet, såsom namn och namnändringar, byggnadsuppgifter och spärrmarkeringar.","This service subclass contains the obligations, notification services and e-services related to moving house and issues associated with the Population Information System, including names and name changes, building data and non-disclosure orders for personal security reasons."
v1007,P2,Rakennettu ympäristö,Bebyggd miljö,Built environment,Tässä palveluluokassa käsitellään julkiseen ja asumiskäyttöön tarkoitettuja rakennuksia sekä yleensä kiinteistöihin ja niiden käyttöön liittyvää kunnallista infrastruktuuria ja sen palveluja.,I denna serviceundergrupp behandlas byggnader ämnade för offentligt och boendebruk samt kommunal infrastruktur och dess tjänster allmänt i anslutning till fastigheter och dess bruk.,This service class contains public and residential buildings as well as municipal infrastructure and related services associated with buildings and their use in general.
v1008,P2.1,Rakentaminen,Byggande,Construction,"Tässä alapalveluluokassa käsitellään rakentamiseen liittyviä asioita yksityisen rakentajan palvelujen näkökulmasta. Keskeisiä asioita ovat esimerkiksi rakentamisen luvat ja lupaprosessit, rakennusvalvonnasta huolehtiminen, remontointi ja korjausrakentaminen sekä rakentamiseen liittyvät veroasiat.","I denna serviceundergrupp behandlas ärenden i samband med byggande utgående från tjänster för en privat byggare. Centrala ärenden är t.ex. bygglov och tillståndsprocesser, sörjande för byggnadstillsyn, renovering och ombyggnad samt skatteärenden i anslutning till byggande.","This subclass contains issues related to construction from the point of view of services for private builders. Key issues include permits and permit processes of construction, ensuring appropriate building control, renovations and repairs as well as tax issues relevant to construction."
v1009,P2.2,Korjaus- ja energia-avustukset,Reparations- och energibidrag,Renovation and energy grants,"Tässä alapalveluluokassa käsitellään palvelunäkökulmasta korjausrakentamiseen ja rakennuksen energiatehokkuuden lisäämiseen tarkoitettuja avustuksia, niiden hakuprosesseja ja niihin liittyviä asiointipalveluja.","I denna underservicegrupp behandlas ur servicesynpunkt bidrag i anslutning till ombyggnad och till ökningen av byggnadens energieffektivitet, ansökningsprocesser för bidragen och ärendehanteringstjänster i samband med dem.",This service subclass contains grants for renovations and improving a building’s energy efficiency as well as the application processes and e-services related to these grants from the service point of view.
v1010,P2.3,"Maankäyttö, kaavoitus ja tontit","Markanvändning, planering och tomter","Land use, land use planning and sites","Tässä alapalveluluokassa käsitellään maakuntakaavoja, yleiskaavoja ja asemakaavoja, niihin liittyviä vaikuttamismahdollisuuksia sekä kaavoitetun maan ja tonttien kauppaa ja vuokraamista, mukaan lukien yritystontit.","I denna underservicegrupp behandlas landskapsplanering, detaljplaner och stadsplaner, påverkningsmöjligheter för dessa samt affärer med och hyrning av planerad mark och tomter, inklusive företagstomter.","This service subclass contains regional land use plans, local master plans and local detailed plans, possibilities of influencing these plans, and the sales and leasing of zoned land and sites, including commercial sites."
